X * Y | elapsed time
0*0 | 2300
1*1 | 1100
2*2 | 700
3*3 | 1300
4*4 | 800
5*5 | 800
6*6 | 1600
7*7 | 900
8*8 | 900
9*9 | 1000
10*10 | 800
11*11 | 900
12*12 | 1100
13*13 | 1000
14*14 | 900
15*15 | 700
16*16 | 900
17*17 | 800
18*18 | 1100
19*19 | 800
20*20 | 700
21*21 | 700
22*22 | 800
23*23 | 900
24*24 | 800
25*25 | 800
26*26 | 800
27*27 | 800
28*28 | 900
29*29 | 900
30*30 | 800
31*31 | 800
32*32 | 700
33*33 | 800
34*34 | 800
35*35 | 800
36*36 | 800
37*37 | 700
38*38 | 800
39*39 | 900
40*40 | 800
41*41 | 800
42*42 | 700
43*43 | 800
44*44 | 900
45*45 | 700
46*46 | 800
47*47 | 900
48*48 | 800
49*49 | 800
50*50 | 700
51*51 | 800
52*52 | 800
53*53 | 800
54*54 | 900
55*55 | 900
56*56 | 900
57*57 | 1600
58*58 | 800
59*59 | 900
60*60 | 800
61*61 | 900
62*62 | 900
63*63 | 1000
64*64 | 1100
65*65 | 1100
66*66 | 800
67*67 | 900
68*68 | 800
69*69 | 800
70*70 | 900
71*71 | 1000
72*72 | 800
73*73 | 900
74*74 | 800
75*75 | 900
76*76 | 900
77*77 | 1000
78*78 | 900
79*79 | 1100
80*80 | 800
81*81 | 900
82*82 | 1000
83*83 | 1100
84*84 | 800
85*85 | 800
86*86 | 700
87*87 | 800
88*88 | 800
89*89 | 900
90*90 | 800
91*91 | 800
92*92 | 800
93*93 | 800
94*94 | 800
95*95 | 900
96*96 | 900
97*97 | 900
98*98 | 800
99*99 | 900
100*100 | 800
101*101 | 900
102*102 | 800
103*103 | 900
104*104 | 800
105*105 | 800
106*106 | 800
107*107 | 800
108*108 | 800
109*109 | 900
110*110 | 800
111*111 | 900
112*112 | 900
113*113 | 800
114*114 | 800
115*115 | 1000
116*116 | 800
117*117 | 800
118*118 | 800
119*119 | 900
120*120 | 1100
121*121 | 2365800
122*122 | 400
123*123 | 300
124*124 | 300
125*125 | 300
126*126 | 300
127*127 | 300
128*128 | 300
129*129 | 300
130*130 | 300
131*131 | 400
132*132 | 300
133*133 | 400
134*134 | 300
135*135 | 400
136*136 | 300
137*137 | 400
138*138 | 300
139*139 | 400
140*140 | 400
141*141 | 300
142*142 | 400
143*143 | 400
144*144 | 300
145*145 | 500
146*146 | 400
147*147 | 500
148*148 | 300
149*149 | 400
150*150 | 300
151*151 | 400
152*152 | 400
153*153 | 400
154*154 | 400
155*155 | 300
156*156 | 300
157*157 | 300
158*158 | 400
159*159 | 400
160*160 | 400
161*161 | 400
162*162 | 400
163*163 | 400
164*164 | 300
165*165 | 400
166*166 | 400
167*167 | 500
168*168 | 400
169*169 | 300
170*170 | 300
171*171 | 400
172*172 | 400
173*173 | 400
174*174 | 400
175*175 | 400
176*176 | 500
177*177 | 300
178*178 | 300
179*179 | 400
180*180 | 300
181*181 | 300
182*182 | 300
183*183 | 300
184*184 | 400
185*185 | 900
186*186 | 400
187*187 | 400
188*188 | 400
189*189 | 300
190*190 | 300
191*191 | 300
192*192 | 500
193*193 | 400
194*194 | 400
195*195 | 500
196*196 | 400
197*197 | 400
198*198 | 400
199*199 | 500
200*200 | 400
201*201 | 400
202*202 | 500
203*203 | 400
204*204 | 400
205*205 | 400
206*206 | 300
207*207 | 500
208*208 | 500
209*209 | 500
210*210 | 300
211*211 | 400
212*212 | 400
213*213 | 300
214*214 | 400
215*215 | 400
216*216 | 500
217*217 | 400
218*218 | 400
219*219 | 400
220*220 | 500
221*221 | 400
222*222 | 300
223*223 | 400
224*224 | 500
225*225 | 400
226*226 | 400
227*227 | 400
228*228 | 400
229*229 | 400
230*230 | 400
231*231 | 300
232*232 | 400
233*233 | 400
234*234 | 400
235*235 | 400
236*236 | 400
237*237 | 300
238*238 | 400
239*239 | 400
240*240 | 500
241*241 | 600
242*242 | 500
243*243 | 600
244*244 | 300
245*245 | 400
246*246 | 500
247*247 | 400
248*248 | 400
249*249 | 400
250*250 | 400
251*251 | 400
252*252 | 400
253*253 | 400
254*254 | 400
255*255 | 400
256*256 | 400
257*257 | 400
258*258 | 400
259*259 | 400
260*260 | 400
261*261 | 400
262*262 | 400
263*263 | 300
264*264 | 400
265*265 | 400
266*266 | 400
267*267 | 400
268*268 | 400
269*269 | 400
270*270 | 500
271*271 | 500
272*272 | 400
273*273 | 400
274*274 | 400
275*275 | 400
276*276 | 400
277*277 | 400
278*278 | 400
279*279 | 1100
280*280 | 600
281*281 | 500
282*282 | 400
283*283 | 500
284*284 | 500
285*285 | 400
286*286 | 400
287*287 | 400
288*288 | 400
289*289 | 500
290*290 | 500
291*291 | 400
292*292 | 400
293*293 | 500
294*294 | 400
295*295 | 400
296*296 | 400
297*297 | 400
298*298 | 400
299*299 | 400
300*300 | 400
301*301 | 400
302*302 | 400
303*303 | 400
304*304 | 500
305*305 | 400
306*306 | 300
307*307 | 400
308*308 | 500
309*309 | 400
310*310 | 400
311*311 | 400
312*312 | 400
313*313 | 400
314*314 | 500
315*315 | 400
316*316 | 400
317*317 | 400
318*318 | 400
319*319 | 400
320*320 | 500
321*321 | 400
322*322 | 400
323*323 | 400
324*324 | 400
325*325 | 400
326*326 | 400
327*327 | 400
328*328 | 300
329*329 | 400
330*330 | 400
331*331 | 400
332*332 | 400
333*333 | 300
334*334 | 500
335*335 | 400
336*336 | 500
337*337 | 400
338*338 | 400
339*339 | 400
340*340 | 400
341*341 | 400
342*342 | 500
343*343 | 300
344*344 | 500
345*345 | 500
346*346 | 300
347*347 | 400
348*348 | 400
349*349 | 500
350*350 | 300
351*351 | 400
352*352 | 400
353*353 | 500
354*354 | 400
355*355 | 500
356*356 | 400
357*357 | 400
358*358 | 400
359*359 | 300
360*360 | 400
361*361 | 400
362*362 | 400
363*363 | 400
364*364 | 400
365*365 | 400
366*366 | 300
367*367 | 400
368*368 | 400
369*369 | 400
370*370 | 400
371*371 | 400
372*372 | 400
373*373 | 400
374*374 | 400
375*375 | 400
376*376 | 400
377*377 | 500
378*378 | 400
379*379 | 400
380*380 | 400
381*381 | 400
382*382 | 400
383*383 | 400
384*384 | 500
385*385 | 400
386*386 | 400
387*387 | 400
388*388 | 400
389*389 | 400
390*390 | 300
391*391 | 500
392*392 | 500
393*393 | 400
394*394 | 300
395*395 | 400
396*396 | 400
397*397 | 400
398*398 | 400
399*399 | 500
400*400 | 500
401*401 | 500
402*402 | 500
403*403 | 500
404*404 | 400
405*405 | 400
406*406 | 400
407*407 | 500
408*408 | 500
409*409 | 400
410*410 | 400
411*411 | 400
412*412 | 400
413*413 | 400
414*414 | 300
415*415 | 500
416*416 | 500
417*417 | 400
418*418 | 400
419*419 | 500
420*420 | 400
421*421 | 300
422*422 | 300
423*423 | 500
424*424 | 400
425*425 | 400
426*426 | 500
427*427 | 400
428*428 | 400
429*429 | 400
430*430 | 400
431*431 | 500
432*432 | 400
433*433 | 400
434*434 | 300
435*435 | 500
436*436 | 500
437*437 | 400
438*438 | 400
439*439 | 400
440*440 | 500
441*441 | 500
442*442 | 300
443*443 | 400
444*444 | 300
445*445 | 400
446*446 | 400
447*447 | 400
448*448 | 500
449*449 | 400
450*450 | 300
451*451 | 400
452*452 | 400
453*453 | 500
454*454 | 300
455*455 | 400
456*456 | 400
457*457 | 400
458*458 | 300
459*459 | 400
460*460 | 500
461*461 | 400
462*462 | 500
463*463 | 300
464*464 | 400
465*465 | 400
466*466 | 400
467*467 | 300
468*468 | 400
469*469 | 500
470*470 | 1100
471*471 | 300
472*472 | 600
473*473 | 400
474*474 | 300
475*475 | 300
476*476 | 300
477*477 | 300
478*478 | 300
479*479 | 500
480*480 | 500
481*481 | 300
482*482 | 300
483*483 | 400
484*484 | 400
485*485 | 300
486*486 | 400
487*487 | 300
488*488 | 400
489*489 | 400
490*490 | 300
491*491 | 300
492*492 | 400
493*493 | 300
494*494 | 300
495*495 | 300
496*496 | 400
497*497 | 300
498*498 | 300
499*499 | 300
500*500 | 300
501*501 | 300
502*502 | 200
503*503 | 300
504*504 | 300
505*505 | 300
506*506 | 400
507*507 | 800
508*508 | 400
509*509 | 400
510*510 | 400
511*511 | 400
512*512 | 400
513*513 | 400
514*514 | 400
515*515 | 700
516*516 | 500
517*517 | 500
518*518 | 300
519*519 | 400
520*520 | 300
521*521 | 500
522*522 | 400
523*523 | 400
524*524 | 400
525*525 | 400
526*526 | 500
527*527 | 400
528*528 | 400
529*529 | 400
530*530 | 400
531*531 | 700
532*532 | 400
533*533 | 500
534*534 | 400
535*535 | 400
536*536 | 400
537*537 | 400
538*538 | 500
539*539 | 500
540*540 | 400
541*541 | 500
542*542 | 500
543*543 | 500
544*544 | 500
545*545 | 400
546*546 | 400
547*547 | 400
548*548 | 400
549*549 | 400
550*550 | 500
551*551 | 500
552*552 | 400
553*553 | 400
554*554 | 400
555*555 | 500
556*556 | 500
557*557 | 400
558*558 | 400
559*559 | 400
560*560 | 400
561*561 | 400
562*562 | 500
563*563 | 300
564*564 | 400
565*565 | 300
566*566 | 400
567*567 | 400
568*568 | 300
569*569 | 500
570*570 | 300
571*571 | 400
572*572 | 400
573*573 | 500
574*574 | 400
575*575 | 400
576*576 | 500
577*577 | 400
578*578 | 300
579*579 | 400
580*580 | 400
581*581 | 400
582*582 | 500
583*583 | 400
584*584 | 400
585*585 | 500
586*586 | 400
587*587 | 400
588*588 | 400
589*589 | 400
590*590 | 400
591*591 | 500
592*592 | 400
593*593 | 400
594*594 | 400
595*595 | 400
596*596 | 400
597*597 | 400
598*598 | 500
599*599 | 400
600*600 | 400
601*601 | 300
602*602 | 300
603*603 | 400
604*604 | 400
605*605 | 400
606*606 | 400
607*607 | 300
608*608 | 400
609*609 | 400
610*610 | 400
611*611 | 400
612*612 | 300
613*613 | 400
614*614 | 300
615*615 | 400
616*616 | 400
617*617 | 300
618*618 | 400
619*619 | 400
620*620 | 500
621*621 | 400
622*622 | 500
623*623 | 500
624*624 | 400
625*625 | 600
626*626 | 400
627*627 | 400
628*628 | 400
629*629 | 300
630*630 | 400
631*631 | 400
632*632 | 400
633*633 | 300
